map_version,evidence_kind,research_scope_id,target_field,controlled_source,aggregation_rule
pre-w1-evidence-map-v0.1,TARGET_CHANNEL_FEASIBILITY,target_channel_feasibility,measurements[0].cohort_denominator,cohort-log,Count every consented completed target-channel denominator row independently from pain
pre-w1-evidence-map-v0.1,TARGET_CHANNEL_FEASIBILITY,target_channel_feasibility,measurements[0].participant_surrogates,cohort-log,List exactly the target-channel denominator surrogates with no cross-cohort IDs
pre-w1-evidence-map-v0.1,TARGET_CHANNEL_FEASIBILITY,target_channel_feasibility,measurements[0].eligible_n,participant-observations,Count only observations where all five eligibility fields are YES
pre-w1-evidence-map-v0.1,TARGET_CHANNEL_FEASIBILITY,target_channel_feasibility,measurements[0].eligibility_refs,participant-observations,List each eligible surrogate with SHA-256 of its frozen deidentified observation bytes
pre-w1-evidence-map-v0.1,TARGET_CHANNEL_FEASIBILITY,target_channel_feasibility,measurements[0].eligibility_and_exclusion_policy_digest,research-run-freeze,Use the rolefox-sha256-lines-v1 digest of the frozen protocol recruitment and coding policy inputs
pre-w1-evidence-map-v0.1,TARGET_CHANNEL_FEASIBILITY,target_channel_feasibility,criterion_results,derived-measurement,PASS only when eligible_n is at least 5
pre-w1-evidence-map-v0.1,RULES_REPLAY,rules_replay,measurements[0].qualified_participant_n,replay-index,Count unique replay participants and require each in pain qualified surrogates
pre-w1-evidence-map-v0.1,RULES_REPLAY,rules_replay,measurements[0].jobs_per_participant,job-dataset-freeze,Constant 20 and verify every frozen manifest has exactly 20 unique jobs
pre-w1-evidence-map-v0.1,RULES_REPLAY,rules_replay,measurements[0].dataset_frozen,job-dataset-freeze,TRUE only when every dataset digest was frozen before replay_started_at and stayed unchanged
pre-w1-evidence-map-v0.1,RULES_REPLAY,rules_replay,measurements[0].participant_dataset_refs,job-dataset-freeze,List participant_surrogate plus frozen manifest SHA-256 as dataset_digest plus jobs_count 20
pre-w1-evidence-map-v0.1,RULES_REPLAY,rules_replay,measurements[0].explicit_rejection_reasons_covered,participant-observations.job_decisions,Use ALL PARTIAL NONE or UNKNOWN exactly as coding rubric defines
pre-w1-evidence-map-v0.1,RULES_REPLAY,rules_replay,measurements[0].remaining_ambiguity,participant-observations.job_decisions,Use FINITE_EXCEPTION_CATEGORIES UNBOUNDED or UNKNOWN exactly as coding rubric defines
pre-w1-evidence-map-v0.1,RULES_REPLAY,rules_replay,criterion_results,derived-measurement,PASS only with at least 5 pain-qualified participants and every frozen threshold coverage and ambiguity condition met
