case_id,layer,risk_cluster,primary_diagram,primary_anchor,supporting_diagrams,invariant_ids,gold_ids,review_status,implementation_status
EXC-P0-01,product,RC-FOLLOWUP,RF-UML-ACT-FUP-01,FOLLOWUP_ONCE,RF-UML-SEQ-FUP-01;RF-UML-SM-MSG-01,,GOLD-08,ACCEPTED,NOT_VERIFIED
EXC-P0-02,product,RC-MESSAGING,RF-UML-ACT-MSG-01,ANSWER_PREAUTH,RF-UML-SEQ-MSG-01;RF-UML-SM-MSG-01;RF-UML-CD-COM-01,INV-01,GOLD-07;GOLD-09,ACCEPTED,NOT_VERIFIED
EXC-P0-03,product,RC-MESSAGING-EXCEPTION,RF-UML-ACT-MSG-01,SENSITIVE_WHOLE_MESSAGE_HANDOFF,RF-UML-ACT-EXC-01;RF-UML-SM-EXC-01;RF-UML-SEQ-MSG-01,INV-10,GOLD-10,ACCEPTED,NOT_VERIFIED
EXC-P0-04,product,RC-UNTRUSTED-CONTENT,RF-UML-ACT-MSG-01,MESSAGE_INTENT,RF-UML-SEQ-MSG-01;RF-UML-SM-MSG-01;RF-UML-SEQ-SEC-01;RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,INV-11,GOLD-19,ACCEPTED,NOT_VERIFIED
EXC-P0-05,product,RC-MESSAGING-EXCEPTION,RF-UML-SM-MSG-01,MESSAGE_STOP_CONTACT,RF-UML-CD-COM-01;RF-UML-ACT-MSG-01;RF-UML-ACT-FUP-01;RF-UML-SM-APP-01,,,ACCEPTED,NOT_VERIFIED
EXC-P0-06,product,RC-MESSAGING-EXCEPTION,RF-UML-ACT-EXC-01,EXCEPTION_LIFECYCLE,RF-UML-SM-EXC-01;RF-UML-CD-COM-01,,,ACCEPTED,NOT_VERIFIED
EXC-P0-07,product,RC-MESSAGING-EXCEPTION,RF-UML-ACT-EXC-01,CHOICE,,,,ACCEPTED,NOT_VERIFIED
EXC-P0-08,product,RC-MESSAGING-EXCEPTION,RF-UML-ACT-EXC-01,EXCEPTION_HIGH_RISK_FAIL_CLOSED,RF-UML-SM-EXC-01;RF-UML-ACT-PAUSE-01;RF-UML-SM-RUN-01;RF-UML-SEQ-NOT-01,,,ACCEPTED,NOT_VERIFIED
INT-P0-01,product,RC-INTERVIEW,RF-UML-SEQ-INT-01,INTERVIEW_READINESS,RF-UML-ACT-INT-01;RF-UML-SM-INT-01;RF-UML-SM-SAGA-01;RF-UML-REL-SAGA-01,INV-07,GOLD-07;GOLD-11,ACCEPTED,NOT_VERIFIED
INT-P0-02,product,RC-INTERVIEW,RF-UML-ACT-INT-01,RULE,RF-UML-SM-INT-01;RF-UML-CD-COM-01;RF-UML-SEQ-INT-01;RF-UML-SEQ-MSG-01,,GOLD-12,ACCEPTED,NOT_VERIFIED
INT-P0-03,product,RC-INTERVIEW,RF-UML-ACT-INT-01,EXACT,RF-UML-SM-INT-01;RF-UML-SEQ-INT-01;RF-UML-SEQ-MSG-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
INT-P0-04,product,RC-INTERVIEW,RF-UML-SEQ-INT-02,INTERVIEW_PARTIAL_COMPENSATE,RF-UML-SM-INT-01;RF-UML-SM-SAGA-01;RF-UML-REL-SAGA-01,INV-07,GOLD-13;GOLD-14,ACCEPTED,NOT_VERIFIED
INT-P0-05,product,RC-NOTIFICATION,RF-UML-SEQ-INT-01,INTERVIEW_BOTH_SUCCEEDED,RF-UML-ACT-INT-01;RF-UML-SM-INT-01;RF-UML-SM-NOT-01;RF-UML-SEQ-NOT-01;RF-UML-CD-COM-01,INV-07,,ACCEPTED,NOT_VERIFIED
INT-P0-06,product,RC-NOTIFICATION,RF-UML-SM-NOT-01,NOTIFICATION_LIFECYCLE,RF-UML-SEQ-NOT-01;RF-UML-CD-COM-01;RF-UML-SM-INT-01,,,ACCEPTED,NOT_VERIFIED
INT-P0-07,product,RC-INTERVIEW-CHANGE,RF-UML-SEQ-INT-CHANGE-01,INTERVIEW_CHANGE_DETECTED,RF-UML-ACT-INTCHANGE-01;RF-UML-SM-INT-01;RF-UML-CD-COM-01,,,ACCEPTED,NOT_VERIFIED
INT-P0-08,product,RC-INTERVIEW-CHANGE,RF-UML-SEQ-INT-CHANGE-01,INTERVIEW_CHANGE_IDEMPOTENT_IDENTITY,RF-UML-SM-INT-01;RF-UML-CD-COM-01;RF-UML-SEQ-MSG-01,,,ACCEPTED,NOT_VERIFIED
OFF-P0-01,product,RC-RUNTIME-RECOVERY,RF-UML-ACT-OFF-01,OFFLINE_GAP,RF-UML-SM-RUN-01;RF-UML-SEQ-OFF-01,,,ACCEPTED,NOT_VERIFIED
OFF-P0-02,product,RC-RUNTIME-RECOVERY,RF-UML-ACT-OFF-01,RUNNER_OFFLINE_ORIGINAL_AUTHORITY,RF-UML-SEQ-OFF-01;RF-UML-SM-RUN-01;RF-UML-SM-PLN-01;RF-UML-SM-EXC-01;RF-UML-CMP-TARGET-01,,,ACCEPTED,NOT_VERIFIED
OFF-P0-03,product,RC-RUNTIME-RECOVERY,RF-UML-SEQ-OFF-01,OFFLINE_CATCHUP,RF-UML-SM-RUN-01;RF-UML-ACT-OFF-01,INV-09,GOLD-16,ACCEPTED,NOT_VERIFIED
OFF-P0-04,product,RC-RUNTIME-RECOVERY,RF-UML-SEQ-AUTH-TIME-01,STALE_UI_TRUSTED_TIME,RF-UML-ACT-OFF-01;RF-UML-SM-RUN-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
OFF-P0-05,product,RC-RUNTIME-RECOVERY,RF-UML-SEQ-DR-01,DR_REAUTH_RECONCILE,RF-UML-SM-DAT-01;RF-UML-DEP-LOCAL-01,INV-09,GOLD-20,ACCEPTED,NOT_VERIFIED
A11Y-P0-01,product,RC-ACCESSIBILITY-LOCALE,RF-UML-ACT-A11Y-01,KEYBOARD,RF-UML-UC-CAND-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
A11Y-P0-02,product,RC-ACCESSIBILITY-LOCALE,RF-UML-ACT-A11Y-01,READER,RF-UML-UC-CAND-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
A11Y-P0-03,product,RC-ACCESSIBILITY-LOCALE,RF-UML-ACT-A11Y-01,VISUAL,RF-UML-UC-CAND-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
A11Y-P0-04,product,RC-ACCESSIBILITY-LOCALE,RF-UML-ACT-A11Y-01,ZOOM,RF-UML-UC-CAND-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
A11Y-P0-05,product,RC-ACCESSIBILITY-LOCALE,RF-UML-ACT-A11Y-01,LOCALE,RF-UML-UC-CAND-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
A11Y-P0-06,product,RC-ACCESSIBILITY-LOCALE,RF-UML-ACT-A11Y-01,UNICODE,RF-UML-UC-CAND-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
EXIT-P0-01,product,RC-DATA-LIFECYCLE,RF-UML-ACT-CAMEND-01,CAMPAIGN_END,RF-UML-SM-CAM-01;RF-UML-ACT-DATA-01,,GOLD-18,ACCEPTED,NOT_VERIFIED
EXIT-P0-02,product,RC-DATA-LIFECYCLE,RF-UML-ACT-CAMARCH-01,ARCHIVE_NEW_CYCLE,RF-UML-SM-CAM-01;RF-UML-SM-POLVER-01;RF-UML-CD-AUTH-01,,,ACCEPTED,NOT_VERIFIED
EXIT-P0-03,product,RC-DATA-LIFECYCLE,RF-UML-ACT-CAMARCH-01,ARCHIVE_NEW_CYCLE,RF-UML-SM-CAM-01;RF-UML-CD-DOM-01;RF-UML-CD-EVD-01;RF-UML-SM-POLVER-01,,,ACCEPTED,NOT_VERIFIED
EXIT-P0-04,product,RC-DATA-LIFECYCLE,RF-UML-ACT-DELETE-01,EXTERNAL_RESIDUAL,RF-UML-SEQ-DATA-01;RF-UML-SM-DAT-01,,,ACCEPTED,NOT_VERIFIED
EXIT-P0-05,product,RC-DATA-LIFECYCLE,RF-UML-SEQ-DATA-01,WORKSPACE_DELETE_COMPLETE,RF-UML-ACT-DELETE-01;RF-UML-SM-DAT-01;RF-UML-CD-AUTH-01;RF-UML-CMP-TARGET-01;RF-UML-SEC-CRED-01;RF-UML-SEQ-KILL-01,INV-02;INV-04;INV-05;INV-12,,ACCEPTED,NOT_VERIFIED
EXIT-P0-06,product,RC-DATA-LIFECYCLE,RF-UML-ACT-EXPORT-01,EXPORT_NO_SECRET,RF-UML-SEQ-DATA-01;RF-UML-SEC-CRED-01,,,ACCEPTED,NOT_VERIFIED
EXIT-P0-07,product,RC-WITHDRAWAL,RF-UML-ACT-WITHDRAW-01,WITHDRAW_NEW_PLAN,RF-UML-SEQ-WITHDRAW-01;RF-UML-SM-PLN-01;RF-UML-SM-APP-01;RF-UML-REL-MUT-01,INV-02;INV-04;INV-05,,ACCEPTED,NOT_VERIFIED
AUTH-001,security,RC-AUTHORIZATION,RF-UML-SEC-BOUNDARY-01,AUTH_WORKSPACE_BINDING,RF-UML-CMP-TARGET-01;RF-UML-CD-DOM-01;RF-UML-CD-AUTH-01,INV-02,,ACCEPTED,NOT_VERIFIED
AUTH-002,security,RC-AUTHORIZATION,RF-UML-SEC-CRED-01,AUTH_TOKEN_VALIDATION,RF-UML-DEP-LOCAL-01;RF-UML-CD-AUTH-01;RF-UML-SEQ-APPLY-01,INV-02,,ACCEPTED,NOT_VERIFIED
AUTH-003,security,RC-AUTHORIZATION,RF-UML-SEQ-AUTH-TIME-01,AUTH_STRICT_TIME_INTERVAL,RF-UML-SM-PLN-01;RF-UML-CD-AUTH-01;RF-UML-ACT-AUTH-01;RF-UML-REL-MUT-01,,,ACCEPTED,NOT_VERIFIED
AUTH-004,security,RC-AUTHORIZATION,RF-UML-SM-POLVER-01,QUEUED_POLICY_RECHECK,RF-UML-CD-AUTH-01;RF-UML-SEQ-KILL-01,INV-03,,ACCEPTED,NOT_VERIFIED
AUTH-005,security,RC-AUTHORIZATION,RF-UML-CD-AUTH-01,AUTH_PAYLOAD_REBIND,RF-UML-SM-PLN-01;RF-UML-ACT-AUTH-01;RF-UML-REL-MUT-01,INV-03,,ACCEPTED,NOT_VERIFIED
AUTH-006,security,RC-AUTHORIZATION,RF-UML-SEC-CRED-01,AUTH_ACTION_BINDING,RF-UML-DEP-LOCAL-01;RF-UML-CD-AUTH-01;RF-UML-SEQ-APPLY-01,INV-03,,ACCEPTED,NOT_VERIFIED
AUTH-007,security,RC-AUTHORIZATION,RF-UML-UC-AUTH-01,ACTION_SCOPE,RF-UML-CD-AUTH-01;RF-UML-ACT-AUTH-01,INV-06,,ACCEPTED,NOT_VERIFIED
AUTH-008,security,RC-AUTHORIZATION,RF-UML-SM-POL-01,AUTOMATION_CONTROL,RF-UML-UC-AUTH-01;RF-UML-ACT-CAL-01,,,ACCEPTED,NOT_VERIFIED
AUTH-009,security,RC-AUTHORIZATION,RF-UML-CD-AUTH-01,AUTH_L3_SCOPE_EVALUATION,RF-UML-SM-PLN-01;RF-UML-ACT-AUTH-01;RF-UML-REL-MUT-01,,,ACCEPTED,NOT_VERIFIED
AUTH-010,security,RC-AUTHORIZATION,RF-UML-UC-AUTH-01,IRREVERSIBLE_BOUNDARY,RF-UML-CD-AUTH-01;RF-UML-ACT-AUTH-01,INV-10,,ACCEPTED,NOT_VERIFIED
AUTH-011,security,RC-AUTHORIZATION,RF-UML-SEQ-KILL-01,PAUSE_SCOPE_ENFORCED,RF-UML-SM-POL-01;RF-UML-SM-OPR-01,INV-03;INV-04,,ACCEPTED,NOT_VERIFIED
AUTH-012,security,RC-QUEUE-CONCURRENCY,RF-UML-SEQ-CONC-01,DUPLICATE_AND_QUOTA_ATOMICITY,RF-UML-SM-OPR-01;RF-UML-REL-MUT-01;RF-UML-CD-AUTH-01,INV-05,,ACCEPTED,NOT_VERIFIED
INJ-001,security,RC-UNTRUSTED-CONTENT,RF-UML-SEQ-SEC-01,UNTRUSTED_CONTENT_QUARANTINE,RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,INV-11,,ACCEPTED,NOT_VERIFIED
INJ-002,security,RC-UNTRUSTED-CONTENT,RF-UML-SEQ-SEC-01,EXTERNAL_IDENTITY_NO_AUTHORITY,RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,INV-11,,ACCEPTED,NOT_VERIFIED
INJ-003,security,RC-UNTRUSTED-CONTENT,RF-UML-SEQ-SEC-01,INJECTION_BOUNDED_DECODE,RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,,,ACCEPTED,NOT_VERIFIED
INJ-004,security,RC-UNTRUSTED-CONTENT,RF-UML-SEQ-SEC-01,ATTACHMENT_STRUCTURED_ALLOWLIST,RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,INV-11,,ACCEPTED,NOT_VERIFIED
INJ-005,security,RC-UNTRUSTED-CONTENT,RF-UML-SEQ-SEC-01,UNTRUSTED_CONTENT_QUARANTINE,RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,,,ACCEPTED,NOT_VERIFIED
INJ-006,security,RC-UNTRUSTED-CONTENT,RF-UML-SEQ-SEC-01,OUTBOUND_SECRET_CANARY_GUARD,RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,INV-11,,ACCEPTED,NOT_VERIFIED
INJ-007,security,RC-UNTRUSTED-CONTENT,RF-UML-SEC-BOUNDARY-01,AI_CONTEXT_ISOLATION,RF-UML-CMP-TARGET-01;RF-UML-CD-DOM-01,INV-11,,ACCEPTED,NOT_VERIFIED
INJ-008,security,RC-UNTRUSTED-CONTENT,RF-UML-SEQ-PLG-01,AI_DRAFT_AUTHORITY_GUARD,RF-UML-CMP-EXT-01;RF-UML-CD-EXT-01,INV-11,,ACCEPTED,NOT_VERIFIED
DATA-001,security,RC-PRIVACY-DATA,RF-UML-SEC-BOUNDARY-01,DATA_WORKSPACE_SCOPE,RF-UML-CMP-TARGET-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
DATA-002,security,RC-SUPPLY-CHAIN-SECRET-LEAK,RF-UML-SEC-SUPPLY-01,DATA_002_PRECOMMIT_SECRET_RESPONSE,RF-UML-SEQ-PLG-01;RF-UML-UC-OSS-01;RF-UML-ACT-REL-01,,,ACCEPTED,NOT_VERIFIED
DATA-003,security,RC-PRIVACY-DATA,RF-UML-SEC-BOUNDARY-01,DATA_MINIMIZATION,RF-UML-CMP-TARGET-01;RF-UML-CD-DOM-01,,,ACCEPTED,NOT_VERIFIED
DATA-004,security,RC-PRIVACY-DATA,RF-UML-ACT-MAT-01,LOCAL_ONLY_ZERO_DISCLOSURE,RF-UML-SM-EVD-01;RF-UML-CD-EVD-01,INV-01,,ACCEPTED,NOT_VERIFIED
DATA-005,security,RC-PRIVACY-DATA,RF-UML-SEQ-DATA-01,TEMP_ARTIFACT_FULL_TASK_LIFECYCLE,RF-UML-ACT-ONB-01;RF-UML-SM-DAT-01,,,ACCEPTED,NOT_VERIFIED
DATA-006,security,RC-PRIVACY-DATA,RF-UML-SEQ-DATA-01,CREDENTIAL_REVOCATION_PROTOCOL,RF-UML-ACT-DELETE-01;RF-UML-SM-DAT-01;RF-UML-CD-AUTH-01;RF-UML-CMP-TARGET-01;RF-UML-SEC-CRED-01,INV-02;INV-04;INV-05;INV-12,,ACCEPTED,NOT_VERIFIED
DATA-007,security,RC-PRIVACY-DATA,RF-UML-ACT-EXPORT-01,EXPORT_NO_SECRET,RF-UML-SEQ-DATA-01;RF-UML-SEC-CRED-01,,,ACCEPTED,NOT_VERIFIED
DATA-008,security,RC-PRIVACY-DATA,RF-UML-ACT-DELETE-01,RETENTION_SCHEDULE,RF-UML-SEQ-DATA-01;RF-UML-SM-DAT-01,,,ACCEPTED,NOT_VERIFIED
DATA-009,security,RC-OBSERVABILITY,RF-UML-SEQ-OBS-01,OBSERVABILITY_REDACTION,RF-UML-CMP-TARGET-01;RF-UML-SEC-BOUNDARY-01;RF-UML-SEC-CRED-01,,,ACCEPTED,NOT_VERIFIED
DATA-010,security,RC-PRIVACY-DATA,RF-UML-SEQ-ONB-01,CONNECTOR_CONSENT,RF-UML-SEC-BOUNDARY-01,,,ACCEPTED,NOT_VERIFIED
CRED-001,security,RC-CREDENTIALS,RF-UML-SEC-CRED-01,CREDENTIAL_ISOLATION,RF-UML-DEP-LOCAL-01;RF-UML-CD-AUTH-01,,,ACCEPTED,NOT_VERIFIED
CRED-002,security,RC-CREDENTIALS,RF-UML-SEC-CRED-01,CLIENT_SECRET_ZERO,RF-UML-DEP-LOCAL-01;RF-UML-CD-AUTH-01,,,ACCEPTED,NOT_VERIFIED
CRED-003,security,RC-CREDENTIALS,RF-UML-SEQ-ONB-01,CONNECTOR_CONSENT,,,,ACCEPTED,NOT_VERIFIED
CRED-004,security,RC-CREDENTIALS,RF-UML-SM-RUN-01,AUTH_REQUIRED,RF-UML-SEQ-OFF-01;RF-UML-CMP-TARGET-01,INV-08,,ACCEPTED,NOT_VERIFIED
CRED-005,security,RC-CREDENTIALS,RF-UML-CMP-EXT-01,EXTENSION_SANDBOX,RF-UML-CD-EXT-01;RF-UML-SEC-BOUNDARY-01,,,ACCEPTED,NOT_VERIFIED
CRED-006,security,RC-CREDENTIALS,RF-UML-SEC-CRED-01,IPC_PEER_BINDING,RF-UML-DEP-LOCAL-01;RF-UML-CD-AUTH-01,,,ACCEPTED,NOT_VERIFIED
CRED-007,security,RC-CREDENTIALS,RF-UML-SEC-EXT-01,CONNECTOR_TARGET_ALLOWLIST,RF-UML-SEQ-SEC-01;RF-UML-SEC-BOUNDARY-01;RF-UML-CMP-EXT-01,,,ACCEPTED,NOT_VERIFIED
CRED-008,security,RC-CREDENTIALS,RF-UML-SEQ-DR-01,ENV_SECRET_STARTUP_PREFLIGHT,RF-UML-SM-DAT-01;RF-UML-DEP-LOCAL-01,INV-09,,ACCEPTED,NOT_VERIFIED
COMP-001,security,RC-PLATFORM-COMPLIANCE,RF-UML-SEQ-PLG-01,MANIFEST_COMPLIANCE_EVIDENCE_GATE,RF-UML-CMP-EXT-01;RF-UML-CD-EXT-01,,,ACCEPTED,NOT_VERIFIED
COMP-002,security,RC-PLATFORM-COMPLIANCE,RF-UML-SEQ-PLG-01,PLUGIN_TRUST_CHANGE_INVALIDATION,RF-UML-CMP-EXT-01;RF-UML-CD-EXT-01,INV-03,,ACCEPTED,NOT_VERIFIED
